PROV_CODE,MUN_CODE,BGY_CODE,DATE,RAB_ANIMBITE_M,RAB_ANIMBITE_F
RIZAL,CAINTA,San Andres (Pob.),03/01/2025,173,233
RIZAL,CAINTA,San Isidro,03/01/2025,71,92
RIZAL,CAINTA,San Juan,03/01/2025,223,237
RIZAL,CAINTA,San Roque,03/01/2025,15,33
RIZAL,CAINTA,Santa Rosa,03/01/2025,10,5
RIZAL,CAINTA,Santo Domingo,03/01/2025,84,103
RIZAL,CAINTA,Santo Niño,03/01/2025,9,18
RIZAL,TAYTAY,Dolores (Pob.),04/01/2025,0,0
RIZAL,TAYTAY,Muzon,04/01/2025,0,0
RIZAL,TAYTAY,San Isidro,04/01/2025,689,537
RIZAL,TAYTAY,Santa Ana,04/01/2025,0,0
RIZAL,TAYTAY,San Juan,04/01/2025,0,0
RIZAL,ANGONO,Poblacion Ibaba,04/01/2025,12,12
RIZAL,ANGONO,San Isidro,04/01/2025,94,140
RIZAL,ANGONO,San Vicente,04/01/2025,49,67
RIZAL,ANGONO,San Roque,04/01/2025,39,62
RIZAL,ANGONO,Santo Niño,04/01/2025,8,14
RIZAL,ANGONO,Bagumbayan,04/01/2025,10,13
RIZAL,ANGONO,Kalayaan,04/01/2025,50,66
RIZAL,ANGONO,Mahabang Parang,04/01/2025,88,84
RIZAL,ANGONO,Poblacion Itaas,04/01/2025,2,0
RIZAL,ANGONO,San Pedro,04/01/2025,9,1
RIZAL,CITY OF ANTIPOLO,Bagong Nayon,04/01/2025,59,56
RIZAL,CITY OF ANTIPOLO,Beverly Hills,04/01/2025,4,1
RIZAL,CITY OF ANTIPOLO,Calawis,04/01/2025,8,10
RIZAL,CITY OF ANTIPOLO,Cupang,04/01/2025,73,84
RIZAL,CITY OF ANTIPOLO,Dalig,04/01/2025,93,115
RIZAL,CITY OF ANTIPOLO,Dela Paz (Pob.),04/01/2025,116,160
RIZAL,CITY OF ANTIPOLO,Inarawan,04/01/2025,56,55
RIZAL,CITY OF ANTIPOLO,Mambugan,04/01/2025,64,75
RIZAL,CITY OF ANTIPOLO,Mayamot,04/01/2025,71,88
RIZAL,CITY OF ANTIPOLO,Muntingdilaw,04/01/2025,10,14
RIZAL,CITY OF ANTIPOLO,San Isidro (Pob.),04/01/2025,93,86
RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),04/01/2025,177,202
RIZAL,CITY OF ANTIPOLO,San Juan,04/01/2025,9,25
RIZAL,CITY OF ANTIPOLO,San Luis,04/01/2025,92,123
RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),04/01/2025,123,140
RIZAL,CITY OF ANTIPOLO,Santa Cruz,04/01/2025,93,114
RIZAL,CAINTA,San Andres (Pob.),04/01/2025,5,3
RIZAL,CAINTA,Santo Domingo,04/01/2025,0,0
RIZAL,CAINTA,San Juan,04/01/2025,10,7
RIZAL,CAINTA,San Isidro,04/01/2025,14,14
RIZAL,CAINTA,Santo Niño,04/01/2025,0,0
RIZAL,CAINTA,Santa Rosa,04/01/2025,0,0
RIZAL,CAINTA,San Roque,04/01/2025,0,0
RIZAL,TAYTAY,Dolores (Pob.),05/01/2025,0,0
RIZAL,TAYTAY,Muzon,05/01/2025,0,0
RIZAL,TAYTAY,San Isidro,05/01/2025,895,686
RIZAL,TAYTAY,San Juan,05/01/2025,0,0
RIZAL,TAYTAY,Santa Ana,05/01/2025,0,0
RIZAL,ANGONO,San Isidro,05/01/2025,133,210
RIZAL,ANGONO,San Roque,05/01/2025,38,75
RIZAL,ANGONO,Kalayaan,05/01/2025,45,85
RIZAL,ANGONO,San Vicente,05/01/2025,25,42
RIZAL,ANGONO,Bagumbayan,05/01/2025,24,20
RIZAL,ANGONO,San Pedro,05/01/2025,12,12
RIZAL,ANGONO,Santo Niño,05/01/2025,10,13
RIZAL,ANGONO,Poblacion Ibaba,05/01/2025,17,18
RIZAL,ANGONO,Poblacion Itaas,05/01/2025,2,1
RIZAL,ANGONO,Mahabang Parang,05/01/2025,106,141
RIZAL,CITY OF ANTIPOLO,San Luis,05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Santa Cruz,05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Muntingdilaw,05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Calawis,05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Cupang,05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Dela Paz (Pob.),05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Mayamot,05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Isidro (Pob.),05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),05/01/2025,1455,1663
RIZAL,CITY OF ANTIPOLO,Mambugan,05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Bagong Nayon,05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Beverly Hills,05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Dalig,05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Inarawan,05/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Juan,05/01/2025,0,0
RIZAL,CAINTA,San Andres (Pob.),05/01/2025,187,242
RIZAL,CAINTA,Santo Domingo,05/01/2025,82,115
RIZAL,CAINTA,San Juan,05/01/2025,164,238
RIZAL,CAINTA,San Isidro,05/01/2025,83,85
RIZAL,CAINTA,Santo Niño,05/01/2025,13,21
RIZAL,CAINTA,Santa Rosa,05/01/2025,7,4
RIZAL,CAINTA,San Roque,05/01/2025,26,35
RIZAL,TAYTAY,Dolores (Pob.),06/01/2025,0,0
RIZAL,TAYTAY,Muzon,06/01/2025,0,0
RIZAL,TAYTAY,San Isidro,06/01/2025,805,1141
RIZAL,TAYTAY,Santa Ana,06/01/2025,0,0
RIZAL,TAYTAY,San Juan,06/01/2025,0,0
RIZAL,ANGONO,San Isidro,06/01/2025,180,261
RIZAL,ANGONO,San Vicente,06/01/2025,91,103
RIZAL,ANGONO,Kalayaan,06/01/2025,109,149
RIZAL,ANGONO,San Roque,06/01/2025,85,102
RIZAL,ANGONO,Poblacion Ibaba,06/01/2025,17,34
RIZAL,ANGONO,Poblacion Itaas,06/01/2025,8,9
RIZAL,ANGONO,Santo Niño,06/01/2025,16,17
RIZAL,ANGONO,Bagumbayan,06/01/2025,10,24
RIZAL,ANGONO,San Pedro,06/01/2025,14,23
RIZAL,ANGONO,Mahabang Parang,06/01/2025,196,238
RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),06/01/2025,1501,1629
RIZAL,CITY OF ANTIPOLO,Bagong Nayon,06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Beverly Hills,06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Calawis,06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Cupang,06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Dalig,06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Dela Paz (Pob.),06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Inarawan,06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Mambugan,06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Mayamot,06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Muntingdilaw,06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Isidro (Pob.),06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Juan,06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Luis,06/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Santa Cruz,06/01/2025,0,0
RIZAL,CAINTA,San Roque,06/01/2025,30,47
RIZAL,CAINTA,Santa Rosa,06/01/2025,8,10
RIZAL,CAINTA,Santo Niño,06/01/2025,17,26
RIZAL,CAINTA,San Andres (Pob.),06/01/2025,205,287
RIZAL,CAINTA,Santo Domingo,06/01/2025,87,127
RIZAL,CAINTA,San Juan,06/01/2025,162,275
RIZAL,CAINTA,San Isidro,06/01/2025,77,97
RIZAL,TAYTAY,Dolores (Pob.),07/01/2025,0,0
RIZAL,TAYTAY,Muzon,07/01/2025,0,0
RIZAL,TAYTAY,San Isidro,07/01/2025,0,0
RIZAL,TAYTAY,San Juan,07/01/2025,0,0
RIZAL,TAYTAY,Santa Ana,07/01/2025,0,0
RIZAL,ANGONO,San Isidro,07/01/2025,138,172
RIZAL,ANGONO,Kalayaan,07/01/2025,77,107
RIZAL,ANGONO,San Vicente,07/01/2025,57,81
RIZAL,ANGONO,San Roque,07/01/2025,52,68
RIZAL,ANGONO,San Pedro,07/01/2025,13,12
RIZAL,ANGONO,Bagumbayan,07/01/2025,16,9
RIZAL,ANGONO,Poblacion Ibaba,07/01/2025,21,22
RIZAL,ANGONO,Poblacion Itaas,07/01/2025,1,5
RIZAL,ANGONO,Santo Niño,07/01/2025,12,6
RIZAL,ANGONO,Mahabang Parang,07/01/2025,9,9
RIZAL,CITY OF ANTIPOLO,Bagong Nayon,07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Beverly Hills,07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Calawis,07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Cupang,07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Dalig,07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Dela Paz (Pob.),07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Inarawan,07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Mambugan,07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Mayamot,07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Muntingdilaw,07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Isidro (Pob.),07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Juan,07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Luis,07/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),07/01/2025,1620,1786
RIZAL,CITY OF ANTIPOLO,Santa Cruz,07/01/2025,0,0
RIZAL,CAINTA,San Andres (Pob.),07/01/2025,216,250
RIZAL,CAINTA,Santo Domingo,07/01/2025,89,100
RIZAL,CAINTA,San Juan,07/01/2025,191,253
RIZAL,CAINTA,San Isidro,07/01/2025,75,87
RIZAL,CAINTA,Santa Rosa,07/01/2025,4,2
RIZAL,CAINTA,Santo Niño,07/01/2025,16,17
RIZAL,CAINTA,San Roque,07/01/2025,27,36
RIZAL,ANGONO,Mahabang Parang,01/01/2024,90,93
RIZAL,ANGONO,Bagumbayan,01/01/2024,5,6
RIZAL,ANGONO,Kalayaan,01/01/2024,44,38
RIZAL,ANGONO,Poblacion Ibaba,01/01/2024,8,10
RIZAL,ANGONO,Poblacion Itaas,01/01/2024,6,4
RIZAL,ANGONO,San Isidro,01/01/2024,51,69
RIZAL,ANGONO,San Pedro,01/01/2024,2,5
RIZAL,ANGONO,San Roque,01/01/2024,24,28
RIZAL,ANGONO,San Vicente,01/01/2024,39,37
RIZAL,ANGONO,Santo Niño,01/01/2024,5,6
RIZAL,TAYTAY,Dolores (Pob.),01/01/2024,111,90
RIZAL,TAYTAY,Muzon,01/01/2024,53,37
RIZAL,TAYTAY,San Isidro,01/01/2024,62,54
RIZAL,TAYTAY,San Juan,01/01/2024,160,164
RIZAL,TAYTAY,Santa Ana,01/01/2024,81,97
RIZAL,ANGONO,San Pedro,02/01/2024,5,8
RIZAL,ANGONO,Poblacion Ibaba,02/01/2024,9,8
RIZAL,ANGONO,Santo Niño,02/01/2024,4,8
RIZAL,ANGONO,San Roque,02/01/2024,18,22
RIZAL,ANGONO,Mahabang Parang,02/01/2024,48,76
RIZAL,ANGONO,San Vicente,02/01/2024,24,33
RIZAL,ANGONO,Bagumbayan,02/01/2024,4,7
RIZAL,ANGONO,Kalayaan,02/01/2024,34,37
RIZAL,ANGONO,Poblacion Itaas,02/01/2024,2,1
RIZAL,ANGONO,San Isidro,02/01/2024,75,74
RIZAL,CITY OF ANTIPOLO,Bagong Nayon,01/01/2024,42,40
RIZAL,CITY OF ANTIPOLO,Beverly Hills,01/01/2024,1,5
RIZAL,CITY OF ANTIPOLO,Calawis,01/01/2024,8,7
RIZAL,CITY OF ANTIPOLO,Cupang,01/01/2024,48,55
RIZAL,CITY OF ANTIPOLO,Dalig,01/01/2024,49,76
RIZAL,CITY OF ANTIPOLO,Dela Paz (Pob.),01/01/2024,72,85
RIZAL,CITY OF ANTIPOLO,Inarawan,01/01/2024,24,27
RIZAL,CITY OF ANTIPOLO,Mambugan,01/01/2024,29,43
RIZAL,CITY OF ANTIPOLO,Mayamot,01/01/2024,47,57
RIZAL,CITY OF ANTIPOLO,Muntingdilaw,01/01/2024,6,5
RIZAL,CITY OF ANTIPOLO,San Isidro (Pob.),01/01/2024,53,68
RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),01/01/2024,116,117
RIZAL,CITY OF ANTIPOLO,San Juan,01/01/2024,14,16
RIZAL,CITY OF ANTIPOLO,San Luis,01/01/2024,69,91
RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),01/01/2024,69,81
RIZAL,CITY OF ANTIPOLO,Santa Cruz,01/01/2024,54,72
RIZAL,CAINTA,San Isidro,01/01/2024,39,73
RIZAL,CAINTA,Santa Rosa,01/01/2024,1,2
RIZAL,CAINTA,San Andres (Pob.),01/01/2024,135,138
RIZAL,CAINTA,Santo Niño,01/01/2024,2,8
RIZAL,CAINTA,San Roque,01/01/2024,37,43
RIZAL,CAINTA,Santo Domingo,01/01/2024,59,55
RIZAL,CAINTA,San Juan,01/01/2024,133,148
RIZAL,CITY OF ANTIPOLO,Bagong Nayon,02/01/2024,45,48
RIZAL,CITY OF ANTIPOLO,Beverly Hills,02/01/2024,1,0
RIZAL,CITY OF ANTIPOLO,Calawis,02/01/2024,11,8
RIZAL,CITY OF ANTIPOLO,Cupang,02/01/2024,61,67
RIZAL,CITY OF ANTIPOLO,Dalig,02/01/2024,51,66
RIZAL,CITY OF ANTIPOLO,Dela Paz (Pob.),02/01/2024,61,100
RIZAL,CITY OF ANTIPOLO,Inarawan,02/01/2024,22,31
RIZAL,CITY OF ANTIPOLO,Mambugan,02/01/2024,37,42
RIZAL,CITY OF ANTIPOLO,Mayamot,02/01/2024,40,54
RIZAL,CITY OF ANTIPOLO,Muntingdilaw,02/01/2024,8,8
RIZAL,CITY OF ANTIPOLO,San Isidro (Pob.),02/01/2024,54,61
RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),02/01/2024,106,139
RIZAL,CITY OF ANTIPOLO,San Juan,02/01/2024,10,12
RIZAL,CITY OF ANTIPOLO,San Luis,02/01/2024,63,67
RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),02/01/2024,76,77
RIZAL,CITY OF ANTIPOLO,Santa Cruz,02/01/2024,55,66
RIZAL,CAINTA,San Andres (Pob.),02/01/2024,128,164
RIZAL,CAINTA,Santo Domingo,02/01/2024,59,79
RIZAL,CAINTA,San Juan,02/01/2024,135,170
RIZAL,CAINTA,San Isidro,02/01/2024,44,84
RIZAL,CAINTA,Santa Rosa,02/01/2024,1,3
RIZAL,CAINTA,Santo Niño,02/01/2024,0,0
RIZAL,CAINTA,San Roque,02/01/2024,28,33
RIZAL,TAYTAY,Dolores (Pob.),02/01/2024,74,113
RIZAL,TAYTAY,Muzon,02/01/2024,37,41
RIZAL,TAYTAY,San Isidro,02/01/2024,43,44
RIZAL,TAYTAY,San Juan,02/01/2024,128,176
RIZAL,TAYTAY,Santa Ana,02/01/2024,77,93
RIZAL,ANGONO,Mahabang Parang,03/01/2024,63,78
RIZAL,ANGONO,Kalayaan,03/01/2024,27,47
RIZAL,ANGONO,San Vicente,03/01/2024,22,34
RIZAL,ANGONO,Poblacion Itaas,03/01/2024,0,4
RIZAL,ANGONO,Bagumbayan,03/01/2024,3,4
RIZAL,ANGONO,San Isidro,03/01/2024,51,49
RIZAL,ANGONO,Santo Niño,03/01/2024,6,10
RIZAL,ANGONO,San Pedro,03/01/2024,2,12
RIZAL,ANGONO,San Roque,03/01/2024,20,21
RIZAL,ANGONO,Poblacion Ibaba,03/01/2024,4,10
RIZAL,CITY OF ANTIPOLO,Santa Cruz,03/01/2024,70,108
RIZAL,CITY OF ANTIPOLO,Bagong Nayon,03/01/2024,49,41
RIZAL,CITY OF ANTIPOLO,Beverly Hills,03/01/2024,3,1
RIZAL,CITY OF ANTIPOLO,Calawis,03/01/2024,13,11
RIZAL,CITY OF ANTIPOLO,Cupang,03/01/2024,47,62
RIZAL,CITY OF ANTIPOLO,Dalig,03/01/2024,66,77
RIZAL,CITY OF ANTIPOLO,Dela Paz (Pob.),03/01/2024,103,134
RIZAL,CITY OF ANTIPOLO,Inarawan,03/01/2024,35,54
RIZAL,CITY OF ANTIPOLO,Mambugan,03/01/2024,42,64
RIZAL,CITY OF ANTIPOLO,Mayamot,03/01/2024,56,77
RIZAL,CITY OF ANTIPOLO,Muntingdilaw,03/01/2024,11,9
RIZAL,CITY OF ANTIPOLO,San Isidro (Pob.),03/01/2024,71,75
RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),03/01/2024,170,206
RIZAL,CITY OF ANTIPOLO,San Juan,03/01/2024,8,21
RIZAL,CITY OF ANTIPOLO,San Luis,03/01/2024,58,99
RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),03/01/2024,102,121
RIZAL,CAINTA,Santo Niño,03/01/2024,7,14
RIZAL,CAINTA,San Andres (Pob.),03/01/2024,129,147
RIZAL,CAINTA,San Isidro,03/01/2024,46,62
RIZAL,CAINTA,San Juan,03/01/2024,117,160
RIZAL,CAINTA,San Roque,03/01/2024,26,36
RIZAL,CAINTA,Santa Rosa,03/01/2024,3,3
RIZAL,CAINTA,Santo Domingo,03/01/2024,58,56
RIZAL,TAYTAY,Dolores (Pob.),03/01/2024,85,110
RIZAL,TAYTAY,Muzon,03/01/2024,25,48
RIZAL,TAYTAY,San Isidro,03/01/2024,36,48
RIZAL,TAYTAY,San Juan,03/01/2024,110,127
RIZAL,TAYTAY,Santa Ana,03/01/2024,71,73
RIZAL,ANGONO,San Vicente,04/01/2024,63,98
RIZAL,ANGONO,Kalayaan,04/01/2024,60,87
RIZAL,ANGONO,Poblacion Ibaba,04/01/2024,19,18
RIZAL,ANGONO,San Pedro,04/01/2024,12,8
RIZAL,ANGONO,San Roque,04/01/2024,39,51
RIZAL,ANGONO,Poblacion Itaas,04/01/2024,5,3
RIZAL,ANGONO,Bagumbayan,04/01/2024,12,21
RIZAL,ANGONO,Santo Niño,04/01/2024,7,12
RIZAL,ANGONO,Mahabang Parang,04/01/2024,100,148
RIZAL,ANGONO,San Isidro,04/01/2024,117,135
RIZAL,CITY OF ANTIPOLO,Santa Cruz,04/01/2024,33,38
RIZAL,CITY OF ANTIPOLO,Bagong Nayon,04/01/2024,16,25
RIZAL,CITY OF ANTIPOLO,Beverly Hills,04/01/2024,1,0
RIZAL,CITY OF ANTIPOLO,Calawis,04/01/2024,3,3
RIZAL,CITY OF ANTIPOLO,Cupang,04/01/2024,22,24
RIZAL,CITY OF ANTIPOLO,Dalig,04/01/2024,13,39
RIZAL,CITY OF ANTIPOLO,Dela Paz (Pob.),04/01/2024,30,29
RIZAL,CITY OF ANTIPOLO,Inarawan,04/01/2024,13,8
RIZAL,CITY OF ANTIPOLO,Mambugan,04/01/2024,19,18
RIZAL,CITY OF ANTIPOLO,Mayamot,04/01/2024,30,32
RIZAL,CITY OF ANTIPOLO,Muntingdilaw,04/01/2024,3,5
RIZAL,CITY OF ANTIPOLO,San Isidro (Pob.),04/01/2024,30,41
RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),04/01/2024,58,66
RIZAL,CITY OF ANTIPOLO,San Juan,04/01/2024,1,4
RIZAL,CITY OF ANTIPOLO,San Luis,04/01/2024,37,33
RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),04/01/2024,33,47
RIZAL,CAINTA,Santo Niño,04/01/2024,12,24
RIZAL,CAINTA,San Roque,04/01/2024,41,57
RIZAL,CAINTA,Santo Domingo,04/01/2024,82,116
RIZAL,CAINTA,San Juan,04/01/2024,195,254
